,Unnamed: 0.1,Unnamed: 0,Company,Year,Operating Segment,Revenue,gt_billion
0,0,0,KO,2000,Greater Europe Group,,False
1,1,1,KO,2000,Middle & Far East Group,,False
2,2,2,KO,2000,North America Group,,False
3,3,3,KO,2000,Africa Group,,False
4,4,4,KO,2012,Bottling Investments,8132999999.999999,False
5,5,5,KO,2012,Eurasia and Africa,433000000.0,False
6,6,6,KO,2012,Corporate,174000000.0,False
7,7,7,KO,2012,North America,9366000000.0,False
8,8,8,KO,2012,Pacific,722000000.0,False
9,9,9,KO,2012,Latin America,4293999999.9999995,False
10,10,10,KO,2012,Europe,25000000.0,False
11,11,11,KO,2001,North America Group,,False
12,12,12,KO,2001,Africa and Middle East Group,,False
13,13,13,KO,2001,Euro Group,,False
14,14,14,KO,2005,Africa,12000000.0,False
15,15,15,KO,2005,Eurasia and Middle East,377000000.0,False
16,16,16,KO,2005,North America,1343600000.0,False
17,17,17,KO,2005,Asia,1500000000.0,False
18,18,18,KO,2005,Europe,377000000.0,False
19,19,19,KO,2023,Global Ventures,1206000000.0,False
20,20,20,KO,2023,Bottling,1090900000.0,False
21,21,21,KO,2023,North America,3942000000.0,False
22,22,22,KO,2023,Latin America,11400000.0,False
23,23,23,KO,2023,Asia Pacific,1210000000.0,False
24,24,24,KO,2023,Middle East and Africa,3958000000.0,False
25,25,25,KO,2023,Europe,2662400000.0,False
26,26,26,KO,2014,Bottling Investments,194000000.0,False
27,27,27,KO,2014,formerly known as Asia Pacific,681000000.0,False
28,28,28,KO,2014,Eurasia and Africa,4357000000.0,False
29,29,29,KO,2014,North America,277000000.0,False
30,30,30,KO,2014,Latin America,2908000000.0,False
31,31,31,KO,2018,Bottling Investments,1223000000.0,False
32,32,32,KO,2018,Middle East and North America,26000000.0,False
33,33,33,KO,2018,Corporate,655000000.0,False
34,34,34,KO,2018,Asia Pacific,2205000000.0,False
35,35,35,KO,2018,Europe,1350500000.0,False
36,36,36,KO,2022,Global Ventures,841000000.0,False
37,37,37,KO,2022,Bottling Investments,4730000000.0,False
38,38,38,KO,2022,North America,4123999999.9999995,False
39,39,39,KO,2022,Latin America,29000000.0,False
40,40,40,KO,2022,Asia Pacific,1200000000.0,False
41,41,41,KO,2022,Middle East and Africa,3735000000.0,False
42,42,42,KO,2022,Europe,1367000000.0,False
43,43,43,KO,2010,Bottling Investments,6356000000.0,False
44,44,44,KO,2010,Corporate,311000000.0,False
45,45,45,KO,2010,Eurasia,1147900000.0,False
46,46,46,KO,2010,Pacific,1159000000.0,False
47,47,47,KO,2015,Bottling Investments,247000000.0,False
48,48,48,KO,2015,Eurasia and Africa,4288999999.9999995,False
49,49,49,KO,2015,Corporate,300000.0,False
50,50,50,KO,2015,North America,281000000.0,False
51,51,51,KO,2015,Asia Pacific,2380000000.0,False
52,52,52,KO,2011,Bottling Investments,2234000000.0,False
53,53,53,KO,2011,Corporate,129000000.0,False
54,54,54,KO,2011,Eurasia,7000000.0,False
55,55,55,KO,2011,North America,3637000000.0,False
56,56,56,KO,2011,Pacific,1410000000.0,False
57,57,57,KO,2020,Bottling Investments,6171079000.0,False
58,58,58,KO,2020,Global Ventures,3340000000.0,False
59,59,59,KO,2020,North America,6217000000.0,False
60,60,60,KO,2020,Middle East and Africa,8356999999.999999,False
61,61,61,KO,2020,Europe,2053999999.9999998,False
62,62,62,KO,1999,Greater Europe Group,,False
63,63,63,KO,1999,North America Group,,False
64,64,64,KO,1999,Africa Group,,False
65,65,65,KO,2007,Africa,446000000.0,False
66,66,66,KO,2007,Bottling Investments,398000000.0,False
67,67,67,KO,2007,Corporate,185000000.0,False
68,68,68,KO,2007,Eurasia,24700000.0,False
69,69,69,KO,2007,European Union,,False
70,70,70,KO,2007,North America,2910000000.0,False
71,71,71,KO,2007,Pacific,4400000000.0,False
72,72,72,KO,2007,Latin America,7000000.0,False
73,73,73,KO,2009,Africa,1136000000.0,False
74,74,74,KO,2009,Bottling Investments,4933000000.0,False
75,75,75,KO,2009,Eurasia and Africa,8300000000.000001,False
76,76,76,KO,2009,Eurasia,37000000.0,False
77,77,77,KO,2009,Europe,15000000.0,False
78,78,78,KO,2004,Europe,183000000.0,False
79,79,79,KO,2004,Africa,12000000.0,False
80,80,80,KO,2004,North America,1832000000.0,False
81,81,81,KO,2004,Asia,18000000.0,False
82,82,82,KO,2006,Eurasia and Middle East,19500000.0,False
83,83,83,KO,2006,South Asia and Pacific Rim,85000000.0,False
84,84,84,KO,2006,European Union,3020000000.0,False
85,85,85,KO,2006,North America,1033199999.9999999,False
86,86,86,KO,2006,East,5400000000.0,False
87,87,87,KO,2006,North Asia,1950000000.0,False
88,88,88,KO,2013,Bottling Investments,447000000.0,False
89,89,89,KO,2013,Eurasia and Africa,6816000000.0,False
90,90,90,KO,2013,Corporate,3800000000.0,False
91,91,91,KO,2013,North America,9366000000.0,False
92,92,92,KO,2013,Pacific,447000000.0,False
93,93,93,KO,2013,Latin America,5616000000.0,False
94,94,94,KO,2013,Europe,1752360000.0,False
